Name,Archery,Atlatl,Canoes / Fishing,Canvas Painting,Ceramic Painting,Embroidery,Face Paint,Gaga Ball,Giant Swing,Mapmaking,Mini Boat Racing,Miniature Painting,Mutant Animals,Nail Art,Nature Hike Bingo,Outdoor Shelters,Resin Charms,Rock Wall,Sponge Ball,Stress Balls,Weaving,Zip Line
first1 last1,11,10,99,99,3,12,99,99,2,5,8,7,13,99,99,15,14,6,4,99,9,1
first2 last2,11,12,4,99,99,15,10,6,5,99,1,99,99,99,7,3,14,13,9,99,8,2
first3 last3,3,99,4,8,10,13,99,99,5,11,2,99,99,99,12,6,99,7,99,99,99,1
first4 last4,99,99,7,2,99,3,1,99,99,99,99,99,99,4,99,5,99,6,9,99,10,99
first5 last5,10,14,9,6,3,99,5,99,13,99,99,4,8,12,2,1,7,99,11,99,15,99
first6 last6,3,99,4,99,12,11,99,10,9,8,99,14,7,99,5,99,15,1,99,13,6,2
first7 last7,1,14,99,2,1,12,99,99,3,11,99,15,4,99,10,9,8,99,99,5,6,7
first8 last8,13,12,15,5,1,99,6,99,99,99,11,2,4,7,99,99,3,99,10,8,9,14
first9 last9,99,99,99,13,5,10,11,15,7,99,6,12,14,1,2,99,8,99,3,4,9,99
first10 last10,3,2,1,9,10,99,99,4,6,11,99,12,13,99,99,5,7,8,99,99,14,15
first11 last11,9,5,99,14,99,99,99,1,3,8,4,15,6,11,13,10,99,12,7,99,99,2
first12 last12,2,13,99,99,12,99,14,99,3,8,7,10,9,99,99,4,15,5,6,11,99,1
first13 last13,4,11,99,12,5,6,7,8,99,99,15,9,1,99,99,99,2,99,10,13,14,3
first14 last14,3,11,7,9,6,99,12,4,4,10,99,99,5,99,8,15,99,14,2,99,13,99
first15 last15,2,3,4,5,14,99,99,99,7,8,13,11,6,99,1,99,12,99,9,15,99,10
first16 last16,13,12,2,3,99,9,4,99,5,99,11,6,7,99,1,8,99,99,99,14,15,10
first17 last17,7,15,99,99,6,99,2,14,4,8,99,99,99,99,5,9,10,3,12,11,13,1
first18 last18,2,3,14,9,10,11,99,99,12,1,99,8,99,99,4,5,13,6,99,99,15,7
first19 last19,99,5,99,4,3,99,99,11,12,5,2,99,8,13,7,1,14,15,9,99,99,10
first20 last20,4,2,5,99,99,99,99,6,7,15,9,99,11,12,3,10,99,8,14,13,99,1
first21 last21,6,99,12,13,4,8,99,9,1,14,11,99,7,2,99,99,3,5,99,15,99,10
first22 last22,15,99,13,6,7,9,14,99,2,99,10,8,11,99,99,12,99,1,99,5,4,3
first23 last23,1,7,99,8,3,14,9,99,4,15,99,10,6,99,99,13,12,2,99,11,99,5
first24 last24,12,2,8,99,99,3,9,10,13,4,99,99,1,99,5,11,99,14,99,6,7,15
first25 last25,99,99,10,5,6,13,1,99,14,7,99,3,4,15,11,8,9,2,99,12,99,99
first26 last26,5,15,99,13,12,3,11,10,4,99,14,1,8,9,99,99,99,99,2,5,99,7
first27 last27,10,99,99,3,2,7,4,99,1,99,99,1,13,8,99,15,5,99,11,9,6,14
first28 last28,99,8,14,2,12,99,99,9,11,10,6,7,1,99,99,3,13,99,15,4,99,5
first29 last29,99,99,13,3,1,2,10,11,99,4,12,99,99,99,15,7,5,10,9,8,9,99
first30 last30,4,5,6,7,99,99,13,12,3,10,99,11,14,99,99,99,99,2,8,99,99,1
first31 last31,22,21,4,15,16,20,7,1,10,19,99,18,2,17,6,14,13,12,11,10,9,8
first32 last32,2,100,10,17,18,19,9,1,8,100,99,15,5,13,14,11,4,6,7,3,12,100
first33 last33,99,99,6,99,8,99,2,4,1,9,99,7,3,99,13,10,11,99,5,14,99,99
first34 last34,6,7,99,9,10,8,99,4,1,99,99,5,3,99,6,99,99,11,99,99,12,2
first35 last35,2,99,99,5,6,99,3,4,7,8,99,13,1,10,99,15,11,14,99,99,99,12
first36 last36,9,10,13,99,99,99,7,8,12,99,99,1,3,11,99,99,4,99,5,6,99,99
first37 last37,21,22,17,3,4,9,7,13,19,15,99,1,2,5,16,14,8,18,12,11,10,20
first38 last38,12,99,99,9,8,10,4,99,3,99,99,7,2,11,99,99,99,1,99,5,99,6
first39 last39,11,100,99,7,4,10,5,99,3,100,99,99,2,18,99,99,99,1,6,9,99,100
first40 last40,99,100,12,4,99,99,3,99,1,100,99,5,2,6,99,99,7,8,11,9,10,100
first41 last41,7,99,99,8,5,9,99,99,99,13,99,6,1,14,4,11,3,10,99,12,2,99
first42 last42,99,100,1,11,10,99,13,12,99,100,99,9,2,99,99,99,3,4,6,7,8,100
first43 last43,99,99,4,5,6,99,9,99,99,99,99,8,2,1,99,12,10,7,99,3,99,13
first44 last44,8,99,14,7,1,99,2,13,4,99,99,11,9,5,99,15,99,3,10,12,99,6
first45 last45,5,100,99,99,6,99,12,13,1,100,99,7,2,9,99,9,8,4,10,11,99,100
